id;nome;youtube;phone;mail;web;facebook;twitter;descrizione;indirizzo;num_immagini;categoria;googlemap;citta;cap;provincia;servizi;altri_servizi;orari
1;AL BARBISA;;0362 231104 ;infobarbisa@gmail.com;;https://www.facebook.com/al.barbisa.1/;;"BarBisa nasce nel settembre del 2009, dalla ventennale esperienza dei proprietari nel settore della ristorazione.
BarBisa e' un ristorantino che propone piatti della cucina Italiana,una pizza al metro impastata con sei farine e lievito madre,una buona griglieria di carne
 
";via Montello, 92;1;ristorante;https://maps.google.com/?daddr=45.649765,9.220647;Seregno;20831;MB;;;"Chiuso Lunedì.
Da martedì a sabato 12 - 14:30 / 19 - 00
Domenica 12 - 15 / 19 - 00
 
"
2;AL CASTELLO RISTORANTE PIZZERIA;;039 6926131  ;;;www.facebook.com/Ristorante-Pizzeria-Al-Castello-182577811822278/;;"La Villa ""Al Castello"" di Cornate D'Adda (MB) è da 5 generazioni gestita dalla famiglia Stucchi. Immersa nel verde del suo ampio giardino sulle rive del fiume Adda, offre una cucina rinnovata. Pranzi, cene, buffet e degustazioni sono serviti nelle sale del Castello del ‘500 o nel Parco con servizi personalizzati in base alle richieste del cliente e curati in ogni minimo dettaglio.
La location è adatta ad ospitare fino a 200 persone, e la possibilità di usufruire del Parco con strutture esterne idonee per le cerimonie e un parcheggio privato.
";Via Villa Paradiso, 18;3;ristorante;https://maps.google.com/?daddr=45.647720,9.485660;Cornate d'Adda;20872;MB;Parcheggio;;
3;AL-ANBIQ;;039 3900499;info@alanbiq.it;;https://www.facebook.com/alanbiqmonza/;;"Al Anbiq Steak House – Pizzeria offre una cucina gustosa e ricercata; attraverso l’utilizzo di ingredienti genuini e una attenta preparazione, propone piatti unici e dai sapori decisi.
La pizza, tra le migliori in città, grazie alla stesura a mano, la lenta lievitazione naturale dell’impasto, senza l’aggiunta alcuna di lieviti, la selezione attenta dei prodotti e la cottura nel forno a legna è un vero capolavoro.
Il locale, finemente arredato rende il ristorante particolare ed elegante a pochi passi dalla Villa Reale e dal Parco di Monza..
Il personale sempre cortese e cordiale, pronto a consigliarvi ed a guidarvi nella scelta dei piatti e nell’abbinamento dei migliori vini, anche grazie alla ampia cantina a disposizione.
 La Location ideale anche per i tuoi eventi speciali, grazie alla possibilità di studiare insieme allo Chef un menu personalizzato che risponda appieno alle tue esigenze.
";Via Bellini 12;2;ristorante,pizzerie;https://maps.google.com/?daddr=45.596394,9.268910;Monza;;MB;;;"Aperto tutti i giorni 12 - 15 / 19 - 00
"
4;ALBERGO RISTORANTE PIZZERIA ANTICA LOCANDA LA LOMBARDA;;0362 542819;info@locandalombarda.com;www.locandalombarda.com;;;"Ristorante pizzeria con al piano superiore n°6 camere.
Comodo per raggiungere Como, Milano, Monza, Fiera Rho EXPO (25km), aeroporti, stadi e palazzetti.
Vicino stazione 1km.
Posizione silenziosa
 
Photo Credits locandalombarda.com
";Via Armando Diaz, 51;1;ristorante,pizzerie;https://maps.google.com/?daddr=45.685443,9.120233;Lentate sul Seveso;20823;MB;;;"Orari ristorante
da martedì a domenica 
12.00 - 15.00 / 19.00 - 23.00
chiuso martedì sera e sabato a mezzogiorno 
Prenotazione consigliata
tel. 0362.542819
fax 0362.562802
"
5;ALBERGO RISTORANTE SANT'EUSTORGIO;;039 6013718;info@santeustorgio.com;www.santeustorgio.com;www.facebook.com/Ristorante-Sant-Eustorgio-151938769589/;;"Il Sant’Eustorgio vuole essere il ristorante nel quale farvi provare quell’esperienza che ha incantato diverse generazioni di clienti e farvi sentire parte di quel mix di accoglienza, eleganza e buona cucina che sono le prerogative del ristorante di famiglia.
";Via Ferruccio Gillera 1;1;ristorante;https://maps.google.com/?daddr=45.627086,9.326974;ARCORE;20862;MB;;;"Chiuso la domenica sera.
"
6;ALL'ANTICO BORGO;;039 6020170;info@anticoborgomezzago.com;www.anticoborgomezzago.com;;;"Nel cuore di Mezzago, si trova il ristorante all’Antico Borgo, accogliente locale con 50 coperti che da aprile ad ottobre si arricchisce di ulteriori 45 coperti nella veranda estiva.
II menu comprende piatti legati alla tradizione italiana, ai prodotti di stagione, e rivisitata in modo creativo anche con piccoli menu degustazione. Ad accompagnare queste gustose pietanze, una discreta scelta di vini nazionali.
Stessa attenzione e cura viene data alla pizzeria con la scelta di ingredienti di qualità ed interagendo con i clienti nascono pizze nuove e fantasiose che affiancano le proposte più classiche rivisitabili anche con la nostra proposta della pasta integrale. Per gustare ancora meglio le nostre pizze, un’ampia scelta di birre artigianali non pastorizzate.
 
Photo credits Antico Borgo Mezzago 
";via Indipendenza, 53;1;ristorante,pizzerie;https://maps.google.com/?daddr=45.630213,9.444645;Mezzago;;MB;Animali Ammessi;;"Ristorante
aperto tutti i giorni, tranne il lunedì e il martedì a cena
Pizzeria
aperta dal mercoledì alla domenica, a cena
"
7;ALTEREGO BISTROT;;340 3932819; alteregocafe@gmail.com;;https://www.facebook.com/alteregobistrot/?ref=page_internal;;"

Bistro caldo ed accogliente che punta su qualità, servizio e prodotto e dove poter scegliere fra oltre 30 etichette di vino,50 drink o 4 birre alla spina. 
Cucina specializzata in tagli di carne alla griglia ed affettate di pregio.







 






Il Locale è diviso in due zone: una parte con tavoli alti in ferro battuto e legno, ed una parte con tavoli bassi con sedute classiche e retró. Troverete un'ambiente dinamico, retró ma moderno.
 
 
Photo credits AlterEgo Bistrot











";Piazza Armando Diaz, 15;1;ristorante;https://maps.google.com/?daddr=45.628988,9.081185;Ceriano Laghetto;;MB;;Organizzazione di eventi;"
Lunedì: 19.00 - 23.00

 
Giovedì: 19.00 - 00.00




 



Venerdì: 19.00 - 01.00

 



Sabato: 11.30 - 14.00  /  19.00 - 02.00

 



Domenica: 11.30 - 15.00  /  19.00 - 23.30

"
8;AMADEUS;;039 2842069; info@amadeusristorante.it;http://amadeusristorante.it;https://www.facebook.com/ristoranteamadeus/;;"Il ristorante Amadeus, viene inaugurato, a Monza nel 2005.Amadeus era già presente sul territorio brianzolo, dal 1995 ma era conosciuto come American Bar. Il ristorante offre una cucina a 360°, che spazia dal pesce alla carne, anche alla griglia, fino a sfornare delle ottime pizze.
 
 
";Via Galileo Galilei 34;2;ristorante,pizzerie;https://maps.google.com/?daddr=45.580493,9.286036;Monza;20900;MB;;;
9;ANTICA CASCINA ZAPPA;;039 493008    ;anticacascinazappa@gmail.com;www.anticacascinazappa.it;;;"Il ristorante Antica Cascina Zappa propone oggi raffinati piatti di carne o pesce preparati con cura e con sapiente scelta delle materie prime. Il cliente è posto al centro dell'attenzione di tutto il personale di sala.
A poche centinaia di metri dall'Autodromo di Monza (ingresso di Vedano), il ristorante è a Vedano al Lambro, tra Monza e Lissone, in un'oasi di tranquillità lontana dal traffico cittadino.
";via Podgora, 66;1;ristorante;https://maps.google.com/?daddr=45.604753,9.262329;Vedano al Lambro;20854;MB;Accetta Bancomat/Carta di Credito/Ticket,Parcheggio,WI-FI;Take away;"Tutti i giorni
12 - 14.15  /  19 - 22.30
Chiuso il martedì sera
"
10;ANTICA TRATTORIA DELL'UVA;;039323825;info@anticatrattoriadelluva.it;www.anticatrattoriadelluva.it;;;"Accogliente ristorante sito in centro storico, vicino alla Villa Reale e al parco di Monza; iI dehor del ristorante si affaccia su una bella piazza pedonale.
La nostra cucina ricalca la tradizione monzese, con la massima attenzione alla qualità delle materie prime: i nostri ospiti possono deliziare il loro palato con sapori della tradizione lombarda e più precisamente brianzola, senza però dimenticare piatti tipici della cucina italiana. I pasti sono accompagnati da una ricercata e ben assortita scelta di vini, tra le migliori case e vigneti italiani.
La caratteristica della nostra cucina è la cura nella preparazione, ancora totalmente artigianale e casalinga e la genuinità delle materie prime.
";Piazza Carrobiolo, 2;1;ristorante,trattorie;https://maps.google.com/?daddr=45.587124,9.277010;Monza;;MB;Accetta Bancomat/Carta di Credito/Ticket,Animali Ammessi,WI-FI;;"Il ristorante è aperto tutti i giorni tranne la domenica sera.
 
 
"
